context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
hms,SMAPE,Future Absence,0.9596976695879816,Lag 1,2,0.0,1,1,1
hms,SMAPE,Future Absence,0.6349154177806414,Lag 1,3,0.0,1,1,1
hms,SMAPE,Future Absence,0.6215345988680141,Lag 1,4,0.0,1,1,1
hms,SMAPE,Future Absence,0.6104904383852963,Lag 1,5,0.0,1,1,1
hms,SMAPE,Future Absence,0.6102356010896095,Lag 1,6,0.0,1,1,1
hms,SMAPE,Future Absence,0.6080491190875712,Lag 1,7,0.0,1,1,1
hms,SMAPE,Future Absence,0.6059722700670794,Lag 1,8,0.0,1,1,1
hms,SMAPE,Future Absence,0.6044121428366842,Lag 1,9,0.0,1,1,1
hms,SMAPE,Future Absence,0.6038292858170761,Lag 1,10,0.0,1,1,1
hms,SMAPE,Future Absence,0.6012392548421605,Lag 1,11,0.0,1,1,1
hms,SMAPE,Future Absence,0.5994065628272396,Lag 1,12,0.0,1,1,1
hms,SMAPE,Future Absence,0.5972604324868858,Lag 1,13,0.0,1,1,1
hms,SMAPE,Future Absence,0.5946988010573828,Lag 1,14,0.0,1,1,1
hms,SMAPE,Future Absence,0.5962524619236566,Lag 1,15,0.0,1,1,1
hms,SMAPE,Future Absence,0.5937177869867958,Lag 1,16,0.0,1,1,1
hms,SMAPE,Future Absence,0.5935036707912019,Lag 1,17,0.0,1,1,1
hms,SMAPE,Future Absence,0.5958895865072156,Lag 1,18,0.0,1,1,1
hms,SMAPE,Future Absence,0.5908893863763518,Lag 1,19,0.0,1,1,1
hms,SMAPE,Future Absence,0.5935260248068729,Lag 1,20,0.0,1,1,1
hms,SMAPE,Future Active Time,0.2720446374988446,Lag 1,2,0.0,1,1,1
hms,SMAPE,Future Active Time,0.3172087423539836,Lag 1,3,0.0,1,1,1
hms,SMAPE,Future Active Time,0.3241115544503345,Lag 1,4,0.0,1,1,1
hms,SMAPE,Future Active Time,0.3276514396849127,Lag 1,5,0.0,1,1,1
hms,SMAPE,Future Active Time,0.3265908525309771,Lag 1,6,0.0,1,1,1
hms,SMAPE,Future Active Time,0.32630352870589124,Lag 1,7,0.0,1,1,1
hms,SMAPE,Future Active Time,0.32597581446497387,Lag 1,8,0.0,1,1,1
hms,SMAPE,Future Active Time,0.32353466944888776,Lag 1,9,0.0,1,1,1
hms,SMAPE,Future Active Time,0.3224574018541836,Lag 1,10,0.0,1,1,1
hms,SMAPE,Future Active Time,0.32220358573540936,Lag 1,11,0.0,1,1,1
hms,SMAPE,Future Active Time,0.32171100437771977,Lag 1,12,0.0,1,1,1
hms,SMAPE,Future Active Time,0.32097606737512796,Lag 1,13,0.0,1,1,1
hms,SMAPE,Future Active Time,0.32287318694526074,Lag 1,14,0.0,1,1,1
hms,SMAPE,Future Active Time,0.318459863718049,Lag 1,15,0.0,1,1,1
hms,SMAPE,Future Active Time,0.3173031278024179,Lag 1,16,0.0,1,1,1
hms,SMAPE,Future Active Time,0.314372089426666,Lag 1,17,0.0,1,1,1
hms,SMAPE,Future Active Time,0.31496243281790054,Lag 1,18,0.0,1,1,1
hms,SMAPE,Future Active Time,0.31658376393862203,Lag 1,19,0.0,1,1,1
hms,SMAPE,Future Active Time,0.3137623745322906,Lag 1,20,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3827136242211402,Lag 1,2,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3418448842746789,Lag 1,3,0.0,1,1,1
hms,SMAPE,Future Session Time,0.34052649705849314,Lag 1,4,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3410105493951678,Lag 1,5,0.0,1,1,1
hms,SMAPE,Future Session Time,0.33980700765160016,Lag 1,6,0.0,1,1,1
hms,SMAPE,Future Session Time,0.33721228995874264,Lag 1,7,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3348587343701886,Lag 1,8,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3335968371808412,Lag 1,9,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3326080827595042,Lag 1,10,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3319697064989996,Lag 1,11,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3310285725822925,Lag 1,12,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3294147082055063,Lag 1,13,0.0,1,1,1
hms,SMAPE,Future Session Time,0.32897034124159824,Lag 1,14,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3261041737474147,Lag 1,15,0.0,1,1,1
hms,SMAPE,Future Session Time,0.32340234573732607,Lag 1,16,0.0,1,1,1
hms,SMAPE,Future Session Time,0.32607598407741145,Lag 1,17,0.0,1,1,1
hms,SMAPE,Future Session Time,0.32345430727843616,Lag 1,18,0.0,1,1,1
hms,SMAPE,Future Session Time,0.3232779547486269,Lag 1,19,0.0,1,1,1
hms,SMAPE,Future Session Time,0.322533376328533,Lag 1,20,0.0,1,1,1
hms,SMAPE,Future Session Activity,0.378885831241073,Lag 1,2,0.0,1,1,1
hms,SMAPE,Future Session Activity,0.35803147591621204,Lag 1,3,0.0,1,1,1
hms,SMAPE,Future Session Activity,0.36038512784778143,Lag 1,4,0.0,1,1,1
hms,SMAPE,Future Session Activity,0.36152890077484506,Lag 1,5,0.0,1,1,1
hms,SMAPE,Future Session Activity,0.36145225746030496,Lag 1,6,0.0,1,1,1
hms,SMAPE,Future Session Activity,0.35962530183918057,Lag 1,7,0.0,1,1,1
hms,SMAPE,Future Session Activity,0.357262770457104,Lag 1,8,0.0,1,1,1
