context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
hms,SMAPE,Future Absence,0.9599708998987262,Lag 1,2,0.0,1,1,9
hms,SMAPE,Future Absence,0.6356588686894991,Lag 1,3,0.0,1,1,9
hms,SMAPE,Future Absence,0.6210000868980017,Lag 1,4,0.0,1,1,9
hms,SMAPE,Future Absence,0.6154207074618232,Lag 1,5,0.0,1,1,9
hms,SMAPE,Future Absence,0.6145047250116791,Lag 1,6,0.0,1,1,9
hms,SMAPE,Future Absence,0.6100997289915777,Lag 1,7,0.0,1,1,9
hms,SMAPE,Future Absence,0.6089928211543605,Lag 1,8,0.0,1,1,9
hms,SMAPE,Future Absence,0.60779633589163,Lag 1,9,0.0,1,1,9
hms,SMAPE,Future Absence,0.6059206454200898,Lag 1,10,0.0,1,1,9
hms,SMAPE,Future Absence,0.6029209777564688,Lag 1,11,0.0,1,1,9
hms,SMAPE,Future Absence,0.5979644243127438,Lag 1,12,0.0,1,1,9
hms,SMAPE,Future Absence,0.5989434888436147,Lag 1,13,0.0,1,1,9
hms,SMAPE,Future Absence,0.5983497913624599,Lag 1,14,0.0,1,1,9
hms,SMAPE,Future Absence,0.5985933942101394,Lag 1,15,0.0,1,1,9
hms,SMAPE,Future Absence,0.5960757929532956,Lag 1,16,0.0,1,1,9
hms,SMAPE,Future Absence,0.5938023876538303,Lag 1,17,0.0,1,1,9
hms,SMAPE,Future Absence,0.5898407014288475,Lag 1,18,0.0,1,1,9
hms,SMAPE,Future Absence,0.5926351055984316,Lag 1,19,0.0,1,1,9
hms,SMAPE,Future Absence,0.5953477057514731,Lag 1,20,0.0,1,1,9
hms,SMAPE,Future Active Time,0.27106393969169507,Lag 1,2,0.0,1,1,9
hms,SMAPE,Future Active Time,0.31431417580880733,Lag 1,3,0.0,1,1,9
hms,SMAPE,Future Active Time,0.3263203479254471,Lag 1,4,0.0,1,1,9
hms,SMAPE,Future Active Time,0.32736295824574235,Lag 1,5,0.0,1,1,9
hms,SMAPE,Future Active Time,0.3258458116929791,Lag 1,6,0.0,1,1,9
hms,SMAPE,Future Active Time,0.3249329819447876,Lag 1,7,0.0,1,1,9
hms,SMAPE,Future Active Time,0.32323716365629845,Lag 1,8,0.0,1,1,9
