context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
hms,SMAPE,Future Absence,0.9597750345065899,Lag 1,2,0.0,1,1,7
hms,SMAPE,Future Absence,0.6372985211574944,Lag 1,3,0.0,1,1,7
hms,SMAPE,Future Absence,0.6215277105475063,Lag 1,4,0.0,1,1,7
hms,SMAPE,Future Absence,0.6158659131436481,Lag 1,5,0.0,1,1,7
hms,SMAPE,Future Absence,0.6091219616782192,Lag 1,6,0.0,1,1,7
hms,SMAPE,Future Absence,0.6082804694814016,Lag 1,7,0.0,1,1,7
hms,SMAPE,Future Absence,0.606811574243289,Lag 1,8,0.0,1,1,7
hms,SMAPE,Future Absence,0.6049216878286032,Lag 1,9,0.0,1,1,7
hms,SMAPE,Future Absence,0.6019195716428603,Lag 1,10,0.0,1,1,7
hms,SMAPE,Future Absence,0.6005289071084564,Lag 1,11,0.0,1,1,7
hms,SMAPE,Future Absence,0.5987130537855839,Lag 1,12,0.0,1,1,7
hms,SMAPE,Future Absence,0.597122614759963,Lag 1,13,0.0,1,1,7
hms,SMAPE,Future Absence,0.5947706572828051,Lag 1,14,0.0,1,1,7
hms,SMAPE,Future Absence,0.5939084346146197,Lag 1,15,0.0,1,1,7
hms,SMAPE,Future Absence,0.5946770357136272,Lag 1,16,0.0,1,1,7
hms,SMAPE,Future Absence,0.5917191997987478,Lag 1,17,0.0,1,1,7
hms,SMAPE,Future Absence,0.5916425759529765,Lag 1,18,0.0,1,1,7
hms,SMAPE,Future Absence,0.5949092802290433,Lag 1,19,0.0,1,1,7
hms,SMAPE,Future Absence,0.592882039257924,Lag 1,20,0.0,1,1,7
hms,SMAPE,Future Active Time,0.2695247464480597,Lag 1,2,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3130930195638807,Lag 1,3,0.0,1,1,7
hms,SMAPE,Future Active Time,0.32540508852083727,Lag 1,4,0.0,1,1,7
hms,SMAPE,Future Active Time,0.32682829883747133,Lag 1,5,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3249567990748201,Lag 1,6,0.0,1,1,7
hms,SMAPE,Future Active Time,0.32435033964964094,Lag 1,7,0.0,1,1,7
hms,SMAPE,Future Active Time,0.32290731989703664,Lag 1,8,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3212792660776582,Lag 1,9,0.0,1,1,7
hms,SMAPE,Future Active Time,0.32093887983287966,Lag 1,10,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3215588763309006,Lag 1,11,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3213000250679525,Lag 1,12,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3210237670200465,Lag 1,13,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3200782450740828,Lag 1,14,0.0,1,1,7
hms,SMAPE,Future Active Time,0.31526602194166997,Lag 1,15,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3176438082826337,Lag 1,16,0.0,1,1,7
hms,SMAPE,Future Active Time,0.317621082723971,Lag 1,17,0.0,1,1,7
hms,SMAPE,Future Active Time,0.3161058849781475,Lag 1,18,0.0,1,1,7
