context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
hms,SMAPE,Future Absence,0.9601972748737179,Lag 1,2,0.0,1,1,6
hms,SMAPE,Future Absence,0.634152181119891,Lag 1,3,0.0,1,1,6
hms,SMAPE,Future Absence,0.6205381134538593,Lag 1,4,0.0,1,1,6
hms,SMAPE,Future Absence,0.615169324078059,Lag 1,5,0.0,1,1,6
hms,SMAPE,Future Absence,0.6148737468857737,Lag 1,6,0.0,1,1,6
hms,SMAPE,Future Absence,0.6104503486816466,Lag 1,7,0.0,1,1,6
hms,SMAPE,Future Absence,0.6073627256623314,Lag 1,8,0.0,1,1,6
hms,SMAPE,Future Absence,0.6057867560684684,Lag 1,9,0.0,1,1,6
hms,SMAPE,Future Absence,0.6016423655016451,Lag 1,10,0.0,1,1,6
hms,SMAPE,Future Absence,0.5993806315285379,Lag 1,11,0.0,1,1,6
hms,SMAPE,Future Absence,0.5984988592440729,Lag 1,12,0.0,1,1,6
hms,SMAPE,Future Absence,0.6014358214942533,Lag 1,13,0.0,1,1,6
hms,SMAPE,Future Absence,0.5933191855805758,Lag 1,14,0.0,1,1,6
hms,SMAPE,Future Absence,0.5945713461532012,Lag 1,15,0.0,1,1,6
hms,SMAPE,Future Absence,0.5933551219442057,Lag 1,16,0.0,1,1,6
hms,SMAPE,Future Absence,0.5938306346943815,Lag 1,17,0.0,1,1,6
hms,SMAPE,Future Absence,0.5944872621127053,Lag 1,18,0.0,1,1,6
hms,SMAPE,Future Absence,0.5958781781926331,Lag 1,19,0.0,1,1,6
hms,SMAPE,Future Absence,0.5871306427961324,Lag 1,20,0.0,1,1,6
hms,SMAPE,Future Active Time,0.2717878786325099,Lag 1,2,0.0,1,1,6
hms,SMAPE,Future Active Time,0.3161239537741089,Lag 1,3,0.0,1,1,6
hms,SMAPE,Future Active Time,0.3275396253945421,Lag 1,4,0.0,1,1,6
hms,SMAPE,Future Active Time,0.3274356267438584,Lag 1,5,0.0,1,1,6
hms,SMAPE,Future Active Time,0.32589751466092476,Lag 1,6,0.0,1,1,6
hms,SMAPE,Future Active Time,0.3258900993395853,Lag 1,7,0.0,1,1,6
