context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
hms,SMAPE,Future Absence,0.960492723383121,Lag 1,2,0.0,1,1,2
hms,SMAPE,Future Absence,0.6362464704223711,Lag 1,3,0.0,1,1,2
hms,SMAPE,Future Absence,0.6214419683017954,Lag 1,4,0.0,1,1,2
hms,SMAPE,Future Absence,0.6163665512031034,Lag 1,5,0.0,1,1,2
hms,SMAPE,Future Absence,0.6110282964607212,Lag 1,6,0.0,1,1,2
hms,SMAPE,Future Absence,0.6112826066822512,Lag 1,7,0.0,1,1,2
hms,SMAPE,Future Absence,0.6100098031195119,Lag 1,8,0.0,1,1,2
hms,SMAPE,Future Absence,0.6060768661209103,Lag 1,9,0.0,1,1,2
hms,SMAPE,Future Absence,0.5996699379386794,Lag 1,10,0.0,1,1,2
hms,SMAPE,Future Absence,0.6035722366739825,Lag 1,11,0.0,1,1,2
hms,SMAPE,Future Absence,0.6033179058221915,Lag 1,12,0.0,1,1,2
hms,SMAPE,Future Absence,0.5981248622080285,Lag 1,13,0.0,1,1,2
hms,SMAPE,Future Absence,0.5976617878246274,Lag 1,14,0.0,1,1,2
hms,SMAPE,Future Absence,0.5997783995330304,Lag 1,15,0.0,1,1,2
hms,SMAPE,Future Absence,0.593913371855981,Lag 1,16,0.0,1,1,2
hms,SMAPE,Future Absence,0.5948804621097492,Lag 1,17,0.0,1,1,2
hms,SMAPE,Future Absence,0.5942579011994954,Lag 1,18,0.0,1,1,2
hms,SMAPE,Future Absence,0.5893067248324221,Lag 1,19,0.0,1,1,2
hms,SMAPE,Future Absence,0.5872012885976776,Lag 1,20,0.0,1,1,2
hms,SMAPE,Future Active Time,0.2744525527139508,Lag 1,2,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3184340843613808,Lag 1,3,0.0,1,1,2
hms,SMAPE,Future Active Time,0.32716452937322804,Lag 1,4,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3271137348793231,Lag 1,5,0.0,1,1,2
hms,SMAPE,Future Active Time,0.32689650145620963,Lag 1,6,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3261965042240343,Lag 1,7,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3239872133890687,Lag 1,8,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3255252650223998,Lag 1,9,0.0,1,1,2
hms,SMAPE,Future Active Time,0.32403659140049557,Lag 1,10,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3215862256802358,Lag 1,11,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3225139163792196,Lag 1,12,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3196508588126444,Lag 1,13,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3210729046834621,Lag 1,14,0.0,1,1,2
hms,SMAPE,Future Active Time,0.32184680914465275,Lag 1,15,0.0,1,1,2
hms,SMAPE,Future Active Time,0.31994786423815713,Lag 1,16,0.0,1,1,2
hms,SMAPE,Future Active Time,0.31773767573754436,Lag 1,17,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3147108693889693,Lag 1,18,0.0,1,1,2
hms,SMAPE,Future Active Time,0.31303914968344154,Lag 1,19,0.0,1,1,2
hms,SMAPE,Future Active Time,0.3113175922147855,Lag 1,20,0.0,1,1,2
hms,SMAPE,Future Session Time,0.37982260725603123,Lag 1,2,0.0,1,1,2
hms,SMAPE,Future Session Time,0.341108520751066,Lag 1,3,0.0,1,1,2
hms,SMAPE,Future Session Time,0.33822675068197755,Lag 1,4,0.0,1,1,2
hms,SMAPE,Future Session Time,0.3393450102605069,Lag 1,5,0.0,1,1,2
hms,SMAPE,Future Session Time,0.33829022549809457,Lag 1,6,0.0,1,1,2
hms,SMAPE,Future Session Time,0.33895420407558924,Lag 1,7,0.0,1,1,2
hms,SMAPE,Future Session Time,0.3346329643292245,Lag 1,8,0.0,1,1,2
hms,SMAPE,Future Session Time,0.3324601299462687,Lag 1,9,0.0,1,1,2
hms,SMAPE,Future Session Time,0.3331505266537425,Lag 1,10,0.0,1,1,2
hms,SMAPE,Future Session Time,0.3326269173989441,Lag 1,11,0.0,1,1,2
hms,SMAPE,Future Session Time,0.32987797697916527,Lag 1,12,0.0,1,1,2
hms,SMAPE,Future Session Time,0.3288452145187422,Lag 1,13,0.0,1,1,2
hms,SMAPE,Future Session Time,0.33036857793020397,Lag 1,14,0.0,1,1,2
hms,SMAPE,Future Session Time,0.3266183314836147,Lag 1,15,0.0,1,1,2
hms,SMAPE,Future Session Time,0.32469767135115624,Lag 1,16,0.0,1,1,2
hms,SMAPE,Future Session Time,0.32592443841437524,Lag 1,17,0.0,1,1,2
hms,SMAPE,Future Session Time,0.32243834631760154,Lag 1,18,0.0,1,1,2
hms,SMAPE,Future Session Time,0.3245170777274284,Lag 1,19,0.0,1,1,2
hms,SMAPE,Future Session Time,0.32382390303853975,Lag 1,20,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3775352501025666,Lag 1,2,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.35783346462407023,Lag 1,3,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.35962020743977774,Lag 1,4,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3617349431371489,Lag 1,5,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.36310174513782073,Lag 1,6,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3618189235735808,Lag 1,7,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.35875757590470225,Lag 1,8,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3593326101917386,Lag 1,9,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.35660035985780164,Lag 1,10,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3567422819784424,Lag 1,11,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3536977320260469,Lag 1,12,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.35458996644485197,Lag 1,13,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.35501240967297354,Lag 1,14,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3507463497951583,Lag 1,15,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3505611654460774,Lag 1,16,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3504540246095951,Lag 1,17,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.34649293338615234,Lag 1,18,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.3477856550547772,Lag 1,19,0.0,1,1,2
hms,SMAPE,Future Session Activity,0.34625551457675713,Lag 1,20,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.776836867371556,Lag 1,2,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.7662109894054898,Lag 1,3,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.7603297228026743,Lag 1,4,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.7534395698882741,Lag 1,5,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.7404871890427597,Lag 1,6,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.7313771277416304,Lag 1,7,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.724087504555443,Lag 1,8,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.7145197484456884,Lag 1,9,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.701139950409097,Lag 1,10,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.6893850892742173,Lag 1,11,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.6742382152171972,Lag 1,12,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.6634799727927027,Lag 1,13,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.6440658741120246,Lag 1,14,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.6248919678624988,Lag 1,15,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.616824039743517,Lag 1,16,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.5601485848330647,Lag 1,17,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.5720358257274776,Lag 1,18,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.5579782981305726,Lag 1,19,0.0,1,1,2
hms,SMAPE,Future N° Sessions,0.5553536680441769,Lag 1,20,0.0,1,1,2
jc3,SMAPE,Future Absence,0.915091006473236,Lag 1,2,0.0,1,1,2
jc3,SMAPE,Future Absence,0.613992548961146,Lag 1,3,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5876897737659014,Lag 1,4,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5819219573614824,Lag 1,5,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5848847451289307,Lag 1,6,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5859984719627434,Lag 1,7,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5841621965442643,Lag 1,8,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5872929087558638,Lag 1,9,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5897096291454095,Lag 1,10,0.0,1,1,2
jc3,SMAPE,Future Absence,0.593000461048521,Lag 1,11,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5948889834310055,Lag 1,12,0.0,1,1,2
jc3,SMAPE,Future Absence,0.59547763631669,Lag 1,13,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5953359019534818,Lag 1,14,0.0,1,1,2
jc3,SMAPE,Future Absence,0.5989990131838914,Lag 1,15,0.0,1,1,2
jc3,SMAPE,Future Absence,0.6035185268825688,Lag 1,16,0.0,1,1,2
jc3,SMAPE,Future Absence,0.6092313702335487,Lag 1,17,0.0,1,1,2
jc3,SMAPE,Future Absence,0.6115422512617521,Lag 1,18,0.0,1,1,2
jc3,SMAPE,Future Absence,0.6123019295557542,Lag 1,19,0.0,1,1,2
jc3,SMAPE,Future Absence,0.6130584755752122,Lag 1,20,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.30165545004002126,Lag 1,2,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3352831584313596,Lag 1,3,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3485503418908152,Lag 1,4,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3488292064954436,Lag 1,5,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3476560294713817,Lag 1,6,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.34915799747964493,Lag 1,7,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3489518087945765,Lag 1,8,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.34719373923599406,Lag 1,9,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.34532664655283274,Lag 1,10,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3419230963937221,Lag 1,11,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.34366513216832384,Lag 1,12,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3400196131624551,Lag 1,13,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3388918993108471,Lag 1,14,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3394157522222866,Lag 1,15,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3408357309197824,Lag 1,16,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.33305179398322043,Lag 1,17,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.33180421171992414,Lag 1,18,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.33065262458561834,Lag 1,19,0.0,1,1,2
jc3,SMAPE,Future Active Time,0.3302459691994658,Lag 1,20,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.44063173660351646,Lag 1,2,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.36675844422981746,Lag 1,3,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3594283075294372,Lag 1,4,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3564015113612503,Lag 1,5,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3577366764815899,Lag 1,6,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3582848995100672,Lag 1,7,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.35293074702197264,Lag 1,8,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.35439089839194715,Lag 1,9,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.35459945195800446,Lag 1,10,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.35321102822724154,Lag 1,11,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3561476374129246,Lag 1,12,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3538595009866858,Lag 1,13,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3555473301863862,Lag 1,14,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3540566359873188,Lag 1,15,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.35596388239764076,Lag 1,16,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.3551755101734038,Lag 1,17,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.35582787841731467,Lag 1,18,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.35688863049304304,Lag 1,19,0.0,1,1,2
jc3,SMAPE,Future Session Time,0.35215676619372394,Lag 1,20,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.5080357299798948,Lag 1,2,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.39031077596967106,Lag 1,3,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.37301173400240695,Lag 1,4,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.36713418931603137,Lag 1,5,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.367797668189016,Lag 1,6,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.3669807696175549,Lag 1,7,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.3661678489635539,Lag 1,8,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.3670701489810843,Lag 1,9,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.36653958358230543,Lag 1,10,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.3637529566671419,Lag 1,11,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.364586130427637,Lag 1,12,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.36723030704248893,Lag 1,13,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.37020696519814705,Lag 1,14,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.3646600418379104,Lag 1,15,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.3671411849663202,Lag 1,16,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.36816607118263595,Lag 1,17,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.363888910289203,Lag 1,18,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.3675191972603248,Lag 1,19,0.0,1,1,2
jc3,SMAPE,Future Session Activity,0.3639335513194033,Lag 1,20,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.738907097400516,Lag 1,2,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.7279505276596665,Lag 1,3,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.7167370481388745,Lag 1,4,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.7056155838819458,Lag 1,5,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.6913191312254974,Lag 1,6,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.6788214732319385,Lag 1,7,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.6684017142378047,Lag 1,8,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.654024671274335,Lag 1,9,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.6340640686435779,Lag 1,10,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.6144449512619808,Lag 1,11,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.5926064337038166,Lag 1,12,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.5713395293519661,Lag 1,13,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.5393415503752296,Lag 1,14,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.49613796683989914,Lag 1,15,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.47040356264105876,Lag 1,16,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.3584916706387268,Lag 1,17,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.333446616531209,Lag 1,18,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.25190838981041797,Lag 1,19,0.0,1,1,2
jc3,SMAPE,Future N° Sessions,0.16687715196879105,Lag 1,20,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.8417887717284096,Lag 1,2,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6179477579277626,Lag 1,3,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6245749488247377,Lag 1,4,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6261380533424776,Lag 1,5,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6220223381813782,Lag 1,6,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6160183572263556,Lag 1,7,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6171506471395921,Lag 1,8,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6212120839077746,Lag 1,9,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6156325810150862,Lag 1,10,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6110388396419839,Lag 1,11,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6096216419466253,Lag 1,12,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6069621865554248,Lag 1,13,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6003299761176002,Lag 1,14,0.0,1,1,2
lisbf,SMAPE,Future Absence,0.6007232422495831,Lag 1,15,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.1532334232824764,Lag 1,2,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15810992260246737,Lag 1,3,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15678425072785732,Lag 1,4,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15492122772522443,Lag 1,5,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15236347653077753,Lag 1,6,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15167878678956837,Lag 1,7,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.1529061592895041,Lag 1,8,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.1534425178435202,Lag 1,9,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15659290448120863,Lag 1,10,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15796282330387657,Lag 1,11,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15900766048979112,Lag 1,12,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.1559114758998674,Lag 1,13,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.15761018733669235,Lag 1,14,0.0,1,1,2
lisbf,SMAPE,Future Active Time,0.16340999715873056,Lag 1,15,0.0,1,1,2
lisbf,SMAPE,Future Session Time,0.4527678039658939,Lag 1,2,0.0,1,1,2
lisbf,SMAPE,Future Session Time,0.43706005272719567,Lag 1,3,0.0,1,1,2
lisbf,SMAPE,Future Session Time,0.4400950207255617,Lag 1,4,0.0,1,1,2
lisbf,SMAPE,Future Session Time,0.44319157182609237,Lag 1,5,0.0,1,1,2
lisbf,SMAPE,Future Session Time,0.44179283667304015,Lag 1,6,0.0,1,1,2
lisbf,SMAPE,Future Session Time,0.4381622601398405,Lag 1,7,0.0,1,1,2
lisbf,SMAPE,Future Session Time,0.4372971611111452,Lag 1,8,0.0,1,1,2
lisbf,SMAPE,Future Session Time,0.4359883115184977,Lag 1,9,0.0,1,1,2
